,standing,title,year,description,geek_rating,avg_rating,num_voters,url
0,1,Brass: Birmingham,2018,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",8.413,8.59,47571,https://boardgamegeek.com//boardgame/224517/brass-birmingham
1,2,Pandemic Legacy: Season 1,2015,Mutating diseases are spreading around the world - can your team save humanity?,8.376,8.52,54032,https://boardgamegeek.com//boardgame/161936/pandemic-legacy-season-1
2,3,Gloomhaven,2017,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,8.346,8.58,62920,https://boardgamegeek.com//boardgame/174430/gloomhaven
3,4,Ark Nova,2021,"Plan and build a modern, scientifically managed zoo to support conservation projects.",8.338,8.54,45784,https://boardgamegeek.com//boardgame/342942/ark-nova
4,5,Twilight Imperium: Fourth Edition,2017,"Build an intergalactic empire through trade, research, conquest and grand politics.",8.238,8.6,24393,https://boardgamegeek.com//boardgame/233078/twilight-imperium-fourth-edition
5,6,Dune: Imperium,2020,"Influence, intrigue, and combat in the universe of Dune.",8.231,8.43,47434,https://boardgamegeek.com//boardgame/316554/dune-imperium
6,7,Terraforming Mars,2016,Compete with rival CEOs to make Mars habitable and build your corporate empire.,8.208,8.35,100941,https://boardgamegeek.com//boardgame/167791/terraforming-mars
7,8,War of the Ring: Second Edition,2011,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-earth.,8.189,8.54,21879,https://boardgamegeek.com//boardgame/115746/war-of-the-ring-second-edition
8,9,Star Wars: Rebellion,2016,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,8.17,8.42,33036,https://boardgamegeek.com//boardgame/187645/star-wars-rebellion
9,10,Gloomhaven: Jaws of the Lion,2020,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,8.154,8.43,35248,https://boardgamegeek.com//boardgame/291457/gloomhaven-jaws-of-the-lion
10,11,Spirit Island,2017,Island Spirits join forces using elemental powers to defend their home from invaders.,8.144,8.34,53127,https://boardgamegeek.com//boardgame/162886/spirit-island
11,12,Gaia Project,2017,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",8.11,8.37,27714,https://boardgamegeek.com//boardgame/220308/gaia-project
12,13,Twilight Struggle,2005,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,8.066,8.24,49245,https://boardgamegeek.com//boardgame/12333/twilight-struggle
13,14,Through the Ages: A New Story of Civilization,2015,Rewrite history as you build up your civilization in this epic card drafting game!,8.052,8.28,32116,https://boardgamegeek.com//boardgame/182028/through-the-ages-a-new-story-of-civilization
14,15,Great Western Trail,2016,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,8.02,8.19,41298,https://boardgamegeek.com//boardgame/193738/great-western-trail
15,16,The Castles of Burgundy,2011,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",8.016,8.14,63209,https://boardgamegeek.com//boardgame/84876/the-castles-of-burgundy
16,17,Scythe,2016,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",7.986,8.14,84834,https://boardgamegeek.com//boardgame/169786/scythe
17,18,Eclipse: Second Dawn for the Galaxy,2020,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.979,8.45,14127,https://boardgamegeek.com//boardgame/246900/eclipse-second-dawn-for-the-galaxy
18,19,7 Wonders Duel,2015,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,7.97,8.09,96502,https://boardgamegeek.com//boardgame/173346/7-wonders-duel
19,20,Brass: Lancashire,2007,Test your economic mettle as you build and network in the Industrial Revolution.,7.963,8.2,25244,https://boardgamegeek.com//boardgame/28720/brass-lancashire
20,21,Nemesis,2018,"Survive an alien-infested spaceship, but beware of other players and their agendas!",7.953,8.27,31456,https://boardgamegeek.com//boardgame/167355/nemesis
21,22,Clank! Legacy: Acquisitions Incorporated,2019,"""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""",7.948,8.53,9655,https://boardgamegeek.com//boardgame/266507/clank-legacy-acquisitions-incorporated
22,23,A Feast for Odin,2016,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",7.943,8.17,29153,https://boardgamegeek.com//boardgame/177736/a-feast-for-odin
23,24,Concordia,2013,Merchants build and trade throughout the Roman Empire to please the Gods.,7.942,8.09,41108,https://boardgamegeek.com//boardgame/124361/concordia
24,25,Frosthaven,2022,Adventure in the frozen north and build up your outpost throughout an epic campaign.,7.907,8.82,7369,https://boardgamegeek.com//boardgame/295770/frosthaven
25,26,Great Western Trail: Second Edition,2021,Wrangle your herd of cows across the Midwest prairie and deliver it to Kansas City.,7.905,8.33,13416,https://boardgamegeek.com//boardgame/341169/great-western-trail-second-edition
26,27,Arkham Horror: The Card Game,2016,Investigate the horrors of Arkham while courting cosmic doom.,7.9,8.13,43773,https://boardgamegeek.com//boardgame/205637/arkham-horror-the-card-game
27,28,Lost Ruins of Arnak,2020,Explore an island to find resources and discover the lost ruins of Arnak.,7.895,8.07,45708,https://boardgamegeek.com//boardgame/312484/lost-ruins-of-arnak
28,29,Terra Mystica,2012,Play fantastical factions.  Expand your influence by terraforming and joining cults.,7.892,8.06,48417,https://boardgamegeek.com//boardgame/120677/terra-mystica
29,30,Wingspan,2019,Attract a beautiful and diverse collection of birds to your wildlife preserve.,7.89,8.04,95774,https://boardgamegeek.com//boardgame/266192/wingspan
30,31,Root,2018,Decide the fate of the forest as woodland factions fight for contrasting goals.,7.884,8.07,52995,https://boardgamegeek.com//boardgame/237182/root
31,32,Orléans,2014,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",7.872,8.06,31902,https://boardgamegeek.com//boardgame/164928/orleans
32,33,Too Many Bones,2017,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,7.871,8.34,13938,https://boardgamegeek.com//boardgame/192135/too-many-bones
33,34,Mage Knight Board Game,2011,"Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.",7.853,8.09,33554,https://boardgamegeek.com//boardgame/96848/mage-knight-board-game
34,35,Barrage,2019,Nations vie for hydroelectric dominance in a dystopia where water is power.,7.851,8.17,18258,https://boardgamegeek.com//boardgame/251247/barrage
35,36,Everdell,2018,Gather resources to develop a harmonious village of woodland critters and structures.,7.843,8.02,56450,https://boardgamegeek.com//boardgame/199792/everdell
36,37,The Crew: Mission Deep Sea,2021,Dive into the deep sea in this co-operative trick-taking game with variable missions.,7.843,8.14,18667,https://boardgamegeek.com//boardgame/324856/the-crew-mission-deep-sea
37,38,Viticulture Essential Edition,2015,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,7.836,7.99,49585,https://boardgamegeek.com//boardgame/183394/viticulture-essential-edition
38,39,Dune: Imperium – Uprising,2023,"Deploy agents, build your deck, and engage in strategic battles to control Arrakis.",7.814,8.74,6379,https://boardgamegeek.com//boardgame/397598/dune-imperium-uprising
39,40,Marvel Champions: The Card Game,2019,Battle Marvel villains with unique teams of iconic heroes in this LCG.,7.798,8.12,24235,https://boardgamegeek.com//boardgame/285774/marvel-champions-the-card-game
